FOIA,NAID,RGN,"Civilian
/Miliatry",EN,CID,Stack Area,Row,Compartment,Shelf,Box,Title,Type,篩選（翻拍時間估計：箱/2hr.）,Note,,
,1259740,306,,A1 56,16,230,046,016,01-07,16,"FE Taiwan, Taipei (Formosa)
Series: Subject Files, 1953 - 1967
Record Group 306: Records of the U.S. Information Agency, 1900 - 2003",,box 16，一資料夾（一張紙）,FRC大箱，最多一車六箱,,
,,,,,,,,,,,,,,,,
1742010,2538189,469,,UD 410,45,250,076,006,01-05,20-53,"Photographs -- Taiwan -- Rinderpest Control
Series: Chinese Joint Commission on Rural Reconstruction Subject Files, 1948 - 1956
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,"農復會（JRCC）
20-53 箱全拍",,,
,2538184,469,,UD 410,45,250,076,006,01-05,20-53,"Photographs -- Taiwan -- Farmers Association Activities
Series: Chinese Joint Commission on Rural Reconstruction Subject Files, 1948 - 1956
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,,,,
,2538183,469,,UD 410,45,250,076,006,01-05,20-53,"Photographs -- Taiwan -- Millipede Control
Series: Chinese Joint Commission on Rural Reconstruction Subject Files, 1948 - 1956
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,,,,
,2538182,469,,UD 410,45,250,076,006,01-05,20-53,"Photographs -- Taiwan -- Crystal Violet Hog Cholera Vaccine Production, October 1949
Series: Chinese Joint Commission on Rural Reconstruction Subject Files, 1948 - 1956
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,,,,
,2538180,469,,UD 410,45,250,076,006,01-05,20-53,"Photographs -- Taiwan - Fertilizer Distribution Program, August 1949
Series: Chinese Joint Commission on Rural Reconstruction Subject Files, 1948 - 1956
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,,,,
,2538169,469,,UD 410,44,250,076,006,01-05,20-53,"Photographs -- Taiwan -- Assistance to Community Health Centers
Series: Chinese Joint Commission on Rural Reconstruction Subject Files, 1948 - 1956
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,,,,
,2538168,469,,UD 410,44,250,076,006,01-05,20-53,"Photographs -- Taiwan -- TB Control
Series: Chinese Joint Commission on Rural Reconstruction Subject Files, 1948 - 1956
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,,,,
,2538167,469,,UD 410,44,250,076,006,01-05,20-53,"Photographs -- Taiwan -- Land Rent Reduction, August 1949
Series: Chinese Joint Commission on Rural Reconstruction Subject Files, 1948 - 1956
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,,,,
,2538166,469,,UD 410,44,250,076,006,01-05,20-53,Photographs -- Taiwan -- Restoration of Fresh Water Fishing Industry,,,,,
,2538131,469,,UD 410,40,250,076,006,01-05,20-53,Projects -- Taiwan -- Rural Economics - Reports - TW-M-26 thru end,,,,,
,2538130,469,,UD 410,39,250,076,006,01-05,20-53,Projects -- Taiwan -- Rural Economics Division -- Reports - TW-M-1 thru 25,,,,,
,2538129,469,,UD 410,39,250,076,006,01-05,20-53,Projects -- Taiwan -- Rural Economics Division -- 58-M,,,,,
,2538128,469,,UD 410,39,250,076,006,01-05,20-53,Projects -- Taiwan -- Rural Economics Division -- I-RRTF (M),,,,,
,2538127,469,,UD 410,39,250,076,006,01-05,20-53,Projects -- Taiwan -- Rural Economics Division -- RRLF (M),,,,,
,2538126,469,,UD 410,39,250,076,006,01-05,20-53,Projects -- Taiwan -- Rural Economics Division -- GBS (M),,,,,
,2538125,469,,UD 410,39,250,076,006,01-05,20-53,Projects -- Taiwan -- Rural Economics Division -- 402 (M),,,,,
,2538124,469,,UD 410,39,250,076,006,01-05,20-53,Projects -- Taiwan -- Rural Economics Division,,,,,
,2538123,469,,UD 410,39,250,076,006,01-05,20-53,"Projects -- Taiwan -- Land Tenure, 1954 -- Reports -- TW-G",,,,,
,2538122,469,,UD 410,39,250,076,006,01-05,20-53,"Projects -- Taiwan -- Land Tenure, 1954",,,,,
,2538121,469,,UD 410,38,250,076,006,01-05,20-53,"Projects -- Taiwan -- Land Tenure, 1949-52 (4 folders)",,,,,
,2538109,469,,UD 410,37,250,076,006,01-05,20-53,Projects -- Taiwan -- Irrigation -- Reports -- TW (L)-E-27,,,,,
,2538108,469,,UD 410,37,250,076,006,01-05,20-53,Projects -- Taiwan -- Irrigation -- Reports -- TW-E,,,,,
,2538107,469,,UD 410,36,250,076,006,01-05,20-53,Projects -- Taiwan -- Irrigation -- 1954,,,,,
,2538106,469,,UD 410,36,250,076,006,01-05,20-53,Projects -- Taiwan -- Irrigation -- 1953,,,,,
,2538105,469,,UD 410,36,250,076,006,01-05,20-53,Projects -- Taiwan -- Irrigation -- 1952,,,,,
,2538104,469,,UD 410,36,250,076,006,01-05,20-53,Projects -- Taiwan -- Irrigation -- 1949-51,,,,,
,2538094,469,,UD 410,35,250,076,006,01-05,20-53,Project -- Taiwan -- Health -- Reports - TW-F-141 thru end,,,,,
,2538093,469,,UD 410,34,250,076,006,01-05,20-53,Project -- Taiwan -- Health -- Reports - TW-F-1 thru end,,,,,
,2538092,469,,UD 410,34,250,076,006,01-05,"20-53
",Project -- Taiwan -- Health,,"農復會（JRCC）
20-53 箱全拍",,,
,2538091,469,,UD 410,34,250,076,006,01-05,20-53,Project -- Taiwan -- General Reports -- TW-C-167 thru end,,,,,
,2538090,469,,UD 410,33,250,076,006,01-05,20-53,Project -- Taiwan -- General Reports -- TW-C-1 110 thru end,,,,,
,2538089,469,,UD 410,33,250,076,006,01-05,20-53,Project -- Taiwan -- General Reports -- TW-C-1 thru 109,,,,,
,2538088,469,,UD 410,33,250,076,006,01-05,20-53,Project -- Taiwan -- General,,,,,
,2538087,469,,UD 410,33,250,076,006,01-05,20-53,Project -- Taiwan -- Forestry Division - -- TW-S-47 thru end,,,,,
,2538083,469,,UD 410,31,250,076,006,01-05,20-53,Projects -- Taiwan -- Forestry Division -- 58-N,,,,,
,2538082,469,,UD 410,31,250,076,006,01-05,20-53,Projects -- Taiwan -- Forestry Division -- GBS (N),,,,,
,2538081,469,,UD 410,31,250,076,006,01-05,20-53,Projects -- Taiwan -- Forestry Division -- FK (N),,,,,
,2538080,469,,UD 410,31,250,076,006,01-05,20-53,Projects -- Taiwan -- Forestry,,,,,
,2538079,469,,UD 410,31,250,076,006,01-05,20-53,Projects -- Taiwan -- Food & Fertilizer -- 402-K,,,,,
,2538078,469,,UD 410,31,250,076,006,01-05,20-53,Projects -- Taiwan -- Food & Fertilizer -- I-RRTF (K),,,,,
,2538077,469,,UD 410,31,250,076,006,01-05,20-53,Projects -- Taiwan -- Food & Fertilizer -- GBS (N),,,,,
,2538076,469,,UD 410,31,250,076,006,01-05,20-53,Projects -- Taiwan -- Food & Fertilizer -- FK (N),,,,,
,2538075,469,,UD 410,31,250,076,006,01-05,20-53,Projects -- Taiwan -- Fertilizer Distribution -- Reports - TW-K,,,,,
,2538074,469,,UD 410,31,250,076,006,01-05,20-53,Projects -- Taiwan -- Fertilizer Distribution,,,,,
,2538073,469,,UD 410,31,250,076,006,01-05,20-53,Projects -- Taiwan -- Farmers Organization -- Reports -- TW-B-85 thru 106,,,,,
,2538059,469,,UD 410,28,250,076,006,01-05,20-53,Projects -- Taiwan -- Agriculture -- Reports -- 700 thru 734,,,,,
,2538058,469,,UD 410,28,250,076,006,01-05,20-53,Projects -- Taiwan -- Agriculture -- Reports -- TW-A-601 thru 656,,,,,
,2538057,469,,UD 410,27,250,076,006,01-05,20-53,Projects -- Taiwan -- Agriculture -- Reports -- 561 thru 600,,,,,
,2538056,469,,UD 410,27,250,076,006,01-05,20-53,Projects -- Taiwan -- Agriculture -- Reports -- 500 thru 560,,,,,
,2538055,469,,UD 410,27,250,076,006,01-05,20-53,Projects -- Taiwan -- Agriculture -- Reports -- TW-A-301 thru 499,,,,,
,2538054,469,,UD 410,26,250,076,006,01-05,20-53,Projects -- Taiwan -- Agriculture -- Reports -- 176 thru 300,,,,,
,2538053,469,,UD 410,26,250,076,006,01-05,20-53,Projects -- Taiwan -- Agriculture -- Reports -- 100 thru 175,,,,,
,2538052,469,,UD 410,26,250,076,006,01-05,20-53,Projects -- Taiwan -- Agriculture -- Reports -- TW-A-301 thru 499,,,,,
,2538051,469,,UD 410,25,250,076,006,01-05,20-53,Projects -- Taiwan -- Reports - TW-A-1 thru 39,,,,,
,2538050,469,,UD 410,25,250,076,006,01-05,20-53,"Projects -- Taiwan -- Agriculture, 1951
Series: Chinese Joint Commission on Rural Reconstruction Subject Files, 1948 - 1956
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,,,,
,2538049,469,,UD 410,25,250,076,006,01-05,20-53,"Projects -- Taiwan -- Agriculture, 1949-50
Series: Chinese Joint Commission on Rural Reconstruction Subject Files, 1948 - 1956
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,,,,
,2538044,469,,UD 410,24,250,076,006,01-05,20-53,"Projects -- Taiwan -- 1954
Series: Chinese Joint Commission on Rural Reconstruction Subject Files, 1948 - 1956
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,,,,
,2538043,469,,UD 410,24,250,076,006,01-05,20-53,"Projects -- Taiwan -- 1948-53
Series: Chinese Joint Commission on Rural Reconstruction Subject Files, 1948 - 1956
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,,,,
,,469,,UD 410,,250,076,005,05-07,1-19A,"Series: Chinese Joint Commission on Rural Reconstruction Subject Files, 1948 - 1956",,"農復會（JRCC）
1-19A，21箱全拍",,,
,,,,,,,,,,,,,,,,
,5567457,306,,P 50,15,350,073,005,02-05,14-15,"Taiwan, Taipei June - Dec. 1955
Series: Country and Subject Files, 1945 - 1957
Record Group 306: Records of the U.S. Information Agency, 1900 - 2003",,,,,
,5567456,306,,P 50,15,350,073,005,02-05,14-15,"Taiwan, Taipei Jan. - May 1955
Series: Country and Subject Files, 1945 - 1957
Record Group 306: Records of the U.S. Information Agency, 1900 - 2003",,,,,
,5567455,306,,P 50,15,350,073,005,02-05,14-15,"Taiwan, Taipei 1954
Series: Country and Subject Files, 1945 - 1957
Record Group 306: Records of the U.S. Information Agency, 1900 - 2003",,,,,
,5567454,306,,P 50,14,350,073,005,02-05,14-15,"Taiwan, Taipei 1953
Series: Country and Subject Files, 1945 - 1957
Record Group 306: Records of the U.S. Information Agency, 1900 - 2003",,,,,
,5567453,306,,P 50,14,350,073,005,02-05,14-15,"Taiwan, Taipei 1949 through 1952
Series: Country and Subject Files, 1945 - 1957
Record Group 306: Records of the U.S. Information Agency, 1900 - 2003",,,,,
,,,,,,,,,,,,,,,,
1936640,,469,,UD 1139,,250,080,022,01-06,"1-35
","Series: Mission to China.Subject Files, 1948 - 1949
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,,,,
,2068903,469,,UD 1139,32,250,080,022,01-06,"1-35
","Taiwan Sugar Corporation
Series: Mission to China.Subject Files, 1948 - 1949
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,"Mission to China
1948-1949  美援國民政府資料
box 1-35 箱全拍",,,
,2068893,469,,UD 1139,31,250,080,022,01-06,1-35,"Taiwan Coal
Series: Subject Files, 1948 - 1949
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,,,,
,2068902,469,,UD 1139,31,250,080,022,01-06,1-35,"Taiwan Railway Administration
Series: Mission to China.Subject Files, 1948 - 1949
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,,,,
,2068894,469,,UD 1139,31,250,080,022,01-06,1-35,"Taiwan Fertilizer Company
Series: Mission to China.Subject Files, 1948 - 1949
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,,,,
,2068892,469,,UD 1139,31,250,080,022,01-06,1-35,"Taipei, Taiwan: to
Series: Mission to China.Subject Files, 1948 - 1949
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,,,,
,2068901,469,,UD 1139,31,250,080,022,01-06,1-35,"Taiwan Power Company (2of2)
Series: Subject Files, 1948 - 1949
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,,,,
,2068900,469,,UD 1139,31,250,080,022,01-06,1-35,"Taiwan Power Company (1of2)
Series: Subject Files, 1948 - 1949
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,,,,
,2068899,469,,UD 1139,31,250,080,022,01-06,1-35,"Taiwan--Gen Background Matl (5of5)
Series: Subject Files, 1948 - 1949
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,,,,
,2068898,469,,UD 1139,31,250,080,022,01-06,1-35,Taiwan--Gen Background Matl (4of5),,,,,
,2068897,469,,UD 1139,31,250,080,022,01-06,1-35,Taiwan--Gen Background Matl (3of5),,,,,
,2068896,469,,UD 1139,31,250,080,022,01-06,1-35,Taiwan--Gen Background Matl (2of5),,,,,
,2068895,469,,UD 1139,31,250,080,022,01-06,1-35,Taiwan--Gen Background Matl (1of5),,,,,
,,,,,,,,,,,,,,,,
,6120015,306,,P 77,5,230,046,004,03,3-5,"Taiwan Radio Survey
Series: Radio and Television Survey Files, 1953 - ca. 1967
Record Group 306: Records of the U.S. Information Agency, 1900 - 2003",,"廣播問卷
一資料夾，量少",,,
,6120001,306,,P 77,4,230,046,004,03,"3-5
(3-4)","News Events Survey Japan, Taiwan
Series: Radio and Television Survey Files, 1953 - ca. 1967
Record Group 306: Records of the U.S. Information Agency, 1900 - 2003",,,,,
,,,,,,,,,,,,,,,,
,445928,331,M,UD1747,6722 (21),290,019,011/03-018/07,,"6629-
6786","Taiwan, 1951
Series: General Export and Import File, 1945 - 1952
Record Group 331: Records of Allied Operational and Occupation Headquarters, World War II, 1907 - 1966",,,,,
,445852,331,M,UD1747,6718 (16),290,019,011/03-018/07,,"6629-
6786","Taiwan
Series: General Export and Import File, 1945 - 1952
Record Group 331: Records of Allied Operational and Occupation Headquarters, World War II, 1907 - 1966",,,,,
,445814,331,M,UD1747,6716 (26),290,019,011/03-018/07,,"6629-
6786","Taiwan
Series: General Export and Import File, 1945 - 1952
Record Group 331: Records of Allied Operational and Occupation Headquarters, World War II, 1907 - 1966",,,,,
,445735,331,M,UD1747,6714 (11),290,019,011/03-018/07,,"6629-
6786","Taiwan (China)
Series: General Export and Import File, 1945 - 1952
Record Group 331: Records of Allied Operational and Occupation Headquarters, World War II, 1907 - 1966",,,,,
,445066,331,M,UD1747,6691 (8),290,019,011/03-018/07,,"6629-
6786","Taiwan (Formosa)
Series: General Export and Import File, 1945 - 1952
Record Group 331: Records of Allied Operational and Occupation Headquarters, World War II, 1907 - 1966",,,,,
,444912,331,M,UD1747,6687 (3),290,019,011/03-018/07,,"6629-
6786","Taiwan
Series: General Export and Import File, 1945 - 1952
Record Group 331: Records of Allied Operational and Occupation Headquarters, World War II, 1907 - 1966",,,,,
,444453,331,M,UD1747,6674 (21),290,019,011/03-018/07,,"6629-
6786","Formosa (Taiwan)
Series: General Export and Import File, 1945 - 1952
Record Group 331: Records of Allied Operational and Occupation Headquarters, World War II, 1907 - 1966",,,,,
,446751,331,M,UD1747,6750(9),290,019,011/03-018/07,,6629-6786(158),"Trade with Taiwan
Series: Topical File, 1945 - 1950
Record Group 331: Records of Allied Operational and Occupation Headquarters, World War II, 1907 - 1966",,,,,
,446442,331,M,UD1747,6739(12),290,019,011/03-018/07,,6629-6786(158),Exports to Taiwan,,,,,
,446374,331,M,UD1747,6737(41),290,019,011/03-018/07,,6629-6786(158),Ammonium Sulphate for Taiwan,,,,,
,446015,331,M,UD1747,6726(13),290,019,011/03-018/07,,6629-6786(158),Taiwan and Sweden,,,,,
,445999,331,M,UD1747,6725(33),290,019,011/03-018/07,,6629-6786(158),"Taiwan Trade Conference, 1952",,,,,
,445629,331,M,UD1747,6710(15),290,019,011/03-018/07,,6629-6786(158),"Taiwan (Formosa), 1952",,,,,
,445339,331,M,UD1747,6702(1),290,019,011/03-018/07,,6629-6786(158),Taiwan Trade Conference,,,,,
,444371,331,M,UD1747,6672(7),290,019,011/03-018/07,,6629-6786(158),Taiwan - Financial & Trade Agreement,,,,,
,444186,331,M,UD1747,6664(58),290,019,011/03-018/07,,6629-6786(158),Taiwan (China) - Financial & Trade Agreements,,,,,
,444185,331,M,UD1747,6664(57),290,019,011/03-018/07,,6629-6786(158),Taiwan - Side Letters,,,,,
,444108,331,M,UD1747,6663(16),290,019,011/03-018/07,,6629-6786(158),Taiwan-Side Letter,,,,,
,444013,331,M,UD1747,6660(1),290,019,011/03-018/07,,6629-6786(158),Taiwan and Japan Trade Conference,,,,,
,443759,331,M,UD1747,6649(1),290,019,011/03-018/07,,6629-6786(158),Taiwan - MITI Transmittal Memorandum,,,,,
,443749,331,M,UD1747,6648(7),290,019,011/03-018/07,,6629-6786(158),Taiwan-Japan Open Account,,,,,
,443746,331,M,UD1747,6648(4),290,019,011/03-018/07,,6629-6786(158),Taiwan - MITI Transmittal Memorandum,,,,,
,443740,331,M,UD1747,6647(14),290,019,011/03-018/07,,6629-6786(158),Taiwan-Japan Open Account,,,,,
,443736,331,M,UD1747,6647(10),290,019,011/03-018/07,,6629-6786(158),Taiwan Trade Conference,,,,,
,443735,331,M,UD1747,6647(9),290,019,011/03-018/07,,6629-6786(158),Taiwan-Japan Open Account,,,,,
,443734,331,M,UD1747,6647(8),290,019,011/03-018/07,,6629-6786(158),Taiwan Trade Conference,,,,,
,443732,331,M,UD1747,6647(6),290,019,011/03-018/07,,6629-6786(158),Taiwan-Japan Open Account,,,,,
,443730,331,M,UD1747,6647(4),290,019,011/03-018/07,,6629-6786(158),"Taiwan-Japan Account
Series: General Export and Import File, 1945 - 1952
Record Group 331: Records of Allied Operational and Occupation Headquarters, World War II, 1907 - 1966",,,,,
,443573,331,M,UD1747,6639(19),290,019,011/03-018/07,,6629-6786(158),"Taiwan - MITI Transmittal Memorandum, II
Series: General Export and Import File, 1945 - 1952
Record Group 331: Records of Allied Operational and Occupation Headquarters, World War II, 1907 - 1966",,,,,
,443572,331,M,UD1747,6639(18),290,019,011/03-018/07,,6629-6786(158),"Taiwan - MITI Transmittal Memorandum, I
Series: General Export and Import File, 1945 - 1952
Record Group 331: Records of Allied Operational and Occupation Headquarters, World War II, 1907 - 1966",,,,,
,447922,331,M,UD1747,6785,290,019,011/03-018/07,,6629-6786,"Nippon Mining Co. - Taiwan Gold & Copper Mining Co.
Series: General Export and Import File, 1945 - 1952
Record Group 331: Records of Allied Operational and Occupation Headquarters, World War II, 1907 - 1966",,,,,
,445815,331,M,UD1747,6716,290,019,011/03-018/07,,6629-6786,"Taiwan Trade Conference, 16 January 1952",,,,,
,444425,331,M,UD1747,6673,290,019,011/03-018/07,,6629-6786,"Taiwan (China) Trade Conference, 28 Aug 50",,,,,
,444304,331,M,UD1747,6669,290,019,011/03-018/07,,6629-6786,"Financial and Trade Arrangements - Netherlands, Indonesia, Korea, Philippines, Ryukyus, Taiwan, Thailand",,,,,
,444107,331,M,UD1747,6663,290,019,011/03-018/07,,6629-6786,"Taiwan Trade Conference 28 August 1950, Index",,,,,
,444106,331,M,UD1747,6663,290,019,011/03-018/07,,6629-6786,"Taiwan Assumption Transfer, 25 Feb 52",,,,,
,444105,331,M,UD1747,6663,290,019,011/03-018/07,,6629-6786,Taiwan - Financial Agreement for Trade between Taiwan and Occupied Japan,,,,,
,443739,331,M,UD1747,6647,290,019,011/03-018/07,,6629-6786,"China Liquidation Account, Taiwan-Japan Open Account",,,,,
,443738,331,M,UD1747,6647,290,019,011/03-018/07,,6629-6786,"China Liquidation Account, Taiwan-Japan Open Account",,,,,
,443729,331,M,UD1747,6647,290,019,011/03-018/07,,6629-6786,"Taiwan-Japan Trade Conference, 16 January 1952",,,,,
,443727,331,M,UD1747,6647,290,019,011/03-018/07,,6629-6786,Extension of the Taiwan Occupied Japan Trade Plan,,,,,
,443709,331,M,UD1747,6645,290,019,011/03-018/07,,6629-6786,"Taiwan - MITI Transmittal Memorandum, Vol. III",,,,,
,443708,331,M,UD1747,6645,290,019,011/03-018/07,,6629-6786,"Taiwan - MITI Transmittal Memorandum, Vol. II",,,,,
,443707,331,M,UD1747,6645,290,019,011/03-018/07,,6629-6786,"Taiwan - MITI Transmittal Memorandum, Vol. I",,,,,
,443578,331,M,UD1747,6640,290,019,011/03-018/07,,6629-6786,"Taiwan - MITI Transmittal Memorandum, Vol. VII",,,,,
,443577,331,M,UD1747,6640,290,019,011/03-018/07,,6629-6786,"Taiwan - MITI Transmittal Memorandum, Vol. VI",,,,,
,443576,331,M,UD1747,6640,290,019,011/03-018/07,,6629-6786,"Taiwan - MITI Transmittal Memorandum, Vol. V",,,,,
,443575,331,M,UD1747,6640,290,019,011/03-018/07,,6629-6786,"Taiwan - MITI Transmittal Memorandum, Vol. IV",,,,,
,443574,331,M,UD1747,6640,290,019,011/03-018/07,,6629-6786,"Taiwan - MITI Transmittal Memorandum, Vol. III",,,,,
,,,,,,,,,,,,,,,,
1254193,,306,,P 44,,230,048,001,05,1-2,"Series: East Asia and Pacific Program Files, 1954 - 1968
Record Group 306: Records of the U.S. Information Agency, 1900 - 2003",,,,,
,4796192,306,,P 44,2,230,048,001,05,1-2,"Taiwan-Incoming Telegrams & OM’s & FM’s
Series: East Asia and Pacific Program Files, 1954 - 1968
Record Group 306: Records of the U.S. Information Agency, 1900 - 2003",,,,,
,4796188,306,,P 44,2,230,048,001,05,1-2,"Taiwan-General Correspondence
Series: East Asia and Pacific Program Files, 1954 - 1968
Record Group 306: Records of the U.S. Information Agency, 1900 - 2003",,"電報
box1 兩個資料夾，極少量
box2 四個資料夾（報紙雜誌傳媒相關）

",,,
,4796187,306,,P 44,2,230,048,001,05,1-2,"Taiwan-General Correspondence
Series: East Asia and Pacific Program Files, 1954 - 1968
Record Group 306: Records of the U.S. Information Agency, 1900 - 2003",,,,,
,4796181,306,,P 44,2,230,048,001,05,1-2,"Taiwan-Incoming Telegrams & OM’s & FM’s
Series: East Asia and Pacific Program Files, 1954 - 1968
Record Group 306: Records of the U.S. Information Agency, 1900 - 2003",,,,,
,4796171,306,,P 44,1,230,048,001,05,1-2,"Taiwan-Outgoing Telegrams & Pouch Messages
Series: East Asia and Pacific Program Files, 1954 - 1968
Record Group 306: Records of the U.S. Information Agency, 1900 - 2003",,,,,
,4796170,306,,P 44,1,230,048,001,05,1-2,"Taiwan-Outgoing Telegrams & Pouch Messages
Series: East Asia and Pacific Program Files, 1954 - 1968
Record Group 306: Records of the U.S. Information Agency, 1900 - 2003",,,,,
,,,,,,,,,,,,,,,,
,,469,,P 378,,250,038,014,00,88-92,"Series: Unclassified Central Files, 1954 - 1960",,,,,
,,469,,P 378,,250,038,013,00,81-87,"Series: Unclassified Central Files, 1954 - 1960",,,,,
,,469,,P 378,,250,038,012,00,74-80,"Series: Unclassified Central Files, 1954 - 1960",,,,,
,4672037,469,,P 378,72,250,038,011,00,67-73,"Transportation - Highway - Taiwan Highway Bureau
Series: Unclassified Central Files, 1954 - 1960
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,,,,
,,469,,P 378,,250,038,010,00,60-66,"Series: Unclassified Central Files, 1954 - 1960",,,,,
,4671918,469,,P 378,56,250,038,009,00,53-59,"Industry - Taiwan Industrial and Mining Corp.
Series: Unclassified Central Files, 1954 - 1960
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,,,,
,,469,,P 378,,250,038,008,00,46-52,"Series: Unclassified Central Files, 1954 - 1960",,,,,
,,469,,P 378,,250,038,007,00,39-45,"Series: Unclassified Central Files, 1954 - 1960",,,,,
,,469,,P 378,,250,038,006,00,32-38,"Series: Unclassified Central Files, 1954 - 1960",,,,,
,4671744,469,,P 378,27,250,038,005,00,25-31,"Communications - Taiwan Telec. Admin. (Reports)
Series: Unclassified Central Files, 1954 - 1960
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,,,,
,4671711,469,,P 378,23,250,038,004,00,18-24,"Commodities - Sugar - Taiwan Sugar Corp.
Series: Unclassified Central Files, 1954 - 1960
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,"18-24箱全拍
美援：電力、水庫、民生、農業",,,
,4671703,469,,P 378,22,250,038,004,00,18-24,"Commodities - Salt - Taiwan - Korea Salt
Series: Unclassified Central Files, 1954 - 1960
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,,,,
,4671690,469,,P 378,20,250,038,004,00,18-24,"Commodities - Power - Taiwan Power Co.
Series: Unclassified Central Files, 1954 - 1960
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,,,,
,4671712,469,,P 378,23,250,038,004,00,18-24,"Commodities - Sugar (1954) - Taiwan Sugar Corp. (Pre-project)
Series: Unclassified Central Files, 1954 - 1960
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,,,,
,4671691,469,,P 378,21,250,038,004,00,18-24,"Commodities - Power - Taiwan Power Co. (Pre-Project) 1954
Series: Unclassified Central Files, 1954 - 1960
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,,,,
,4671689,469,,P 378,20,250,038,004,00,18-24,"Commodities - Power - Taiwan Power Co. (1955-56)
Series: Unclassified Central Files, 1954 - 1960
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,,,,
,4671666,469,,P 378,15,250,038,003,00,11-17,"Commodities - Paper & Pulp Taiwan Pulp & Paper Co. (1957)
Series: Unclassified Central Files, 1954 - 1960
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,,,,
,4671658,469,,P 378,15,250,038,003,00,11-17,"Commodities - Mineral Taiwan Heavy Ores Processing Corp.
Series: Unclassified Central Files, 1954 - 1960
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,,,,
,4671648,469,,P 378,13,250,038,003,00,11-17,"Commodities - Machinery Mfg. Taiwan Machinery Mfg. Corp.
Series: Unclassified Central Files, 1954 - 1960
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,,,,
,4671644,469,,P 378,13,250,038,003,00,11-17,"Commodities - Lumber Taiwan Timber Treating Co. Ltd.
Series: Unclassified Central Files, 1954 - 1960
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,,,,
,4671632,469,,P 378,11,250,038,003,00,11-17,"Commodities - Iron - Taiwan Iron Mfg. Co.
Series: Unclassified Central Files, 1954 - 1960
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,,,,
,4671612,469,,P 378,9,250,038,002,00,4-10,"Commodities - Fisheries TFB [Taiwan Fisheries Bureau] - Marine Diesel Engines
Series: US Opertions Mission to China. Unclassified Central Files, 1954 - 1960
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,,,,
,4671611,469,,P 378,9,250,038,002,00,4-10,"Commodities - Fisheries - Taiwan Fisheries Bureau
Series: Unclassified Central Files, 1954 - 1960
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,"4-10箱全拍
美援：礦業、農藥肥料、漁業",,,
,4671610,469,,P 378,9,250,038,002,00,4-10,Commodities -Fish - TFB [Taiwan Fisheries Bureau] (1954) 27 Deep Sea Fishing Vessels Projects,,,,,
,4671600,469,,P 378,7,250,038,002,00,4-10,"Commodities - Fertilizer (Taiwan Fertilizer Corp.)
Series: Unclassified Central Files, 1954 - 1960
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,,,,
